                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.54281,                0.37865,                0.87988,                 0.9996,                      1,                  0.995,                0.90335,                0.45605,                0.30598,                0.84985,              0.0014635,              0.0014635,              0.0014635
                     39,                0.52603,                0.35388,                0.84516,                0.99965,                      1,                  0.995,                0.91575,                0.44398,                 0.3081,                0.84746,               0.001458,               0.001458,               0.001458
                     40,                0.53221,                 0.3637,                0.85128,                0.99929,                      1,                  0.995,                0.90752,                0.46573,                0.30929,                 0.8539,              0.0014525,              0.0014525,              0.0014525
                     41,                0.53938,                 0.3635,                   0.85,                0.99948,                      1,                  0.995,                0.90194,                0.46255,                0.30978,                0.85051,               0.001447,               0.001447,               0.001447
                     42,                0.51244,                0.33649,                0.85438,                0.99941,                      1,                  0.995,                 0.9078,                0.45248,                0.29752,                0.84755,              0.0014415,              0.0014415,              0.0014415
                     43,                0.53426,                 0.3548,                0.85183,                0.99913,                      1,                  0.995,                0.92197,                0.43117,                0.30088,                0.84007,               0.001436,               0.001436,               0.001436
                     44,                0.55957,                0.36489,                0.87444,                0.99964,                      1,                  0.995,                0.91011,                0.46232,                0.30054,                0.84844,              0.0014305,              0.0014305,              0.0014305
                     45,                0.52291,                0.34636,                0.86326,                0.99945,                      1,                  0.995,                0.91325,                0.43857,                0.30988,                0.84378,               0.001425,               0.001425,               0.001425
                     46,                0.52066,                0.34285,                0.85235,                0.99957,                      1,                  0.995,                0.91136,                0.43094,                0.27984,                0.84117,              0.0014195,              0.0014195,              0.0014195
                     47,                0.51221,                 0.3344,                0.85584,                0.99952,                      1,                  0.995,                0.90392,                0.46594,                0.29285,                0.85388,              0.0014139,              0.0014139,              0.0014139
                     48,                0.53219,                0.34297,                0.84816,                0.99967,                      1,                  0.995,                0.91136,                0.43651,                0.28286,                 0.8416,              0.0014084,              0.0014084,              0.0014084
                     49,                0.51391,                0.33803,                0.84945,                0.99948,                      1,                  0.995,                0.90418,                0.44301,                0.28946,                0.84369,              0.0014029,              0.0014029,              0.0014029
                     50,                0.51089,                0.32973,                0.85379,                 0.9996,                      1,                  0.995,                0.92388,                0.42426,                0.27318,                0.83332,              0.0013974,              0.0013974,              0.0013974
                     51,                0.51057,                0.33239,                0.85846,                 0.9996,                      1,                  0.995,                0.91165,                0.44252,                0.29491,                0.84417,              0.0013919,              0.0013919,              0.0013919
                     52,                0.51174,                0.32705,                0.84804,                0.99951,                      1,                  0.995,                0.91046,                0.44939,                0.27053,                0.84419,              0.0013864,              0.0013864,              0.0013864
                     53,                0.51136,                0.32738,                0.85783,                0.99942,                      1,                  0.995,                0.90567,                 0.4597,                 0.2845,                0.84603,              0.0013809,              0.0013809,              0.0013809
                     54,                0.51982,                0.34219,                0.85887,                0.99912,                      1,                  0.995,                0.89722,                0.45358,                0.29794,                0.85042,              0.0013754,              0.0013754,              0.0013754
                     55,                0.51375,                0.32319,                0.84561,                0.99954,                      1,                  0.995,                0.91503,                0.42531,                0.27407,                0.83641,              0.0013699,              0.0013699,              0.0013699
                     56,                0.50646,                0.32395,                0.86638,                0.99954,                      1,                  0.995,                0.91479,                0.43911,                 0.2748,                0.84102,              0.0013644,              0.0013644,              0.0013644
                     57,                0.50701,                0.31494,                0.86179,                0.99938,                      1,                  0.995,                0.90591,                0.45979,                0.28299,                0.85048,              0.0013589,              0.0013589,              0.0013589
                     58,                0.52032,                0.32695,                0.85313,                0.99936,                      1,                  0.995,                0.90452,                0.45105,                0.27557,                0.84874,              0.0013534,              0.0013534,              0.0013534
                     59,                0.50685,                0.32302,                0.85873,                0.99958,                      1,                  0.995,                 0.9233,                 0.4173,                0.26487,                0.83839,              0.0013479,              0.0013479,              0.0013479
                     60,                0.49547,                 0.3135,                0.84479,                0.99966,                      1,                  0.995,                0.91732,                0.41142,                0.26493,                0.83613,              0.0013424,              0.0013424,              0.0013424
                     61,                0.50071,                 0.3185,                0.85915,                0.99923,                      1,                  0.995,                0.90959,                0.42785,                0.25864,                0.84557,              0.0013369,              0.0013369,              0.0013369
                     62,                0.49767,                0.31551,                0.84369,                0.99955,                      1,                  0.995,                0.91716,                0.42639,                0.25892,                0.83695,              0.0013314,              0.0013314,              0.0013314
                     63,                0.50239,                0.31506,                0.84899,                0.99957,                      1,                  0.995,                0.91844,                0.41991,                0.25796,                0.83767,              0.0013259,              0.0013259,              0.0013259
                     64,                0.49439,                0.30108,                 0.8423,                 0.9996,                      1,                  0.995,                0.91701,                0.43138,                0.26465,                0.83601,              0.0013204,              0.0013204,              0.0013204
                     65,                 0.4937,                0.31737,                0.85367,                0.99944,                      1,                  0.995,                0.91753,                0.42571,                0.27412,                0.83779,              0.0013149,              0.0013149,              0.0013149
                     66,                0.50296,                0.31351,                0.85488,                0.99962,                      1,                  0.995,                0.91827,                0.42048,                0.25172,                0.83729,              0.0013094,              0.0013094,              0.0013094
                     67,                0.48909,                0.30304,                0.83882,                0.99966,                      1,                  0.995,                0.91104,                0.44872,                0.25509,                0.84208,              0.0013039,              0.0013039,              0.0013039
                     68,                0.48978,                0.30622,                0.84748,                0.99966,                      1,                  0.995,                0.91862,                0.41637,                0.26314,                0.83813,              0.0012984,              0.0012984,              0.0012984
                     69,                0.50053,                0.31021,                0.85319,                0.99958,                      1,                  0.995,                0.91284,                0.43364,                0.26528,                0.84137,              0.0012929,              0.0012929,              0.0012929
                     70,                 0.5021,                0.30856,                0.85332,                0.99959,                      1,                  0.995,                0.90651,                0.43607,                0.26391,                 0.8405,              0.0012874,              0.0012874,              0.0012874
